TRANS_ID;CUST_ID;TRANS_AMT;TRANS_DATE
200312;61518;6161.491;2001-05-02
200313;52759;8571.441;2005-08-06
200314;40619;3308.361;2012-02-19
200315;34959;110.448;2005-05-05
200316;41945;4246.596;2010-04-16
200317;71220;344.21;2010-03-21
200318;30143;3662.481;2008-11-24
200319;52899;6611.212;2012-01-11
200320;53486;4863.613;2009-10-14
200321;10379;107.086;2011-05-30
200322;52605;917.731;2011-03-01
200323;25945;2277.066;2001-11-18
200324;76114;1744.543;2005-01-29
200325;55582;4249.351;2003-08-05
200326;84634;96.811;2004-09-29
200327;48957;9889.757;2005-07-12
200328;14900;7442.261;2002-11-10
200329;38470;3988.56;2004-08-27
200330;55383;3991.352;2013-05-27
200331;78297;7337.574;2012-03-23
200332;91465;532.074;2009-05-25
200333;91537;4931.593;2011-01-03
200334;91379;5032.862;2011-10-01
200335;45653;4899.761;2013-01-01
200336;79171;4554.332;2001-08-04
200337;67207;5629.52;2007-07-14
200338;50117;3539.407;2004-01-23
200339;66748;3001.233;2002-01-30
200340;11974;7695.766;2013-01-08
200341;18923;8636.019;2007-05-13
200342;31051;5809.174;2002-11-11
200343;82800;2649.807;2008-07-16
200344;40025;8202.874;2006-01-03
200345;48036;9782.147;2012-03-25
200346;44175;994.499;2008-07-26
200347;40057;6913.144;2006-06-17
200348;41841;2256.11;2009-01-15
200349;80823;7365.962;2011-02-01
200350;39706;6457.888;2010-10-22
200351;28535;9371.646;2009-02-20
200352;72566;6057.147;2008-12-05
200353;83443;6299.058;2011-10-04
200354;74694;6132.672;2001-12-11
200355;77670;6527.317;2005-06-16
200356;95959;5558.695;2003-08-04
200357;34725;2121.488;2012-06-28
200358;53917;785.966;2008-12-07
200359;80623;7871.653;2002-07-06
200360;75700;5460.858;2014-03-09
200361;13744;6755.784;2005-05-23
200362;56153;8866.9;2004-07-04
200363;35900;5448.919;2005-10-12
200364;18029;6162.343;2010-01-19
200365;45156;5506.762;2005-05-14
200366;11862;4514.891;2013-01-02
200367;91780;219.991;2008-09-15
200368;83796;3939.53;2010-09-23
200369;91932;7609.225;2009-03-04
200370;19799;6931.518;2005-10-31
200371;93645;4073.012;2007-11-05
200372;25862;1992.919;2013-06-02
200373;47637;149.758;2007-01-03
200374;40850;502.117;2004-10-03
200375;44541;2970.304;2003-09-06
200376;34406;5421.416;2001-10-05
200377;47183;861.396;2003-10-24
200378;77415;5136.613;2006-06-23
200379;64557;4471.002;2007-11-23
200380;77033;8911.584;2006-08-09
200381;51906;3683.124;2003-11-24
200382;99973;2540.714;2002-10-26
200383;67152;8558.575;2006-11-16
200384;43863;8667.129;2001-04-23
200385;62830;1258.206;2010-01-17
200386;43862;7773.858;2011-07-27
200387;94276;8593.407;2006-08-28
200388;63393;4403.291;2011-10-20
200389;23007;8017.161;2007-06-02
200390;32971;7001.957;2006-04-25
200391;35926;9973.474;2013-12-10
200392;53583;6074.328;2009-05-19
200393;11649;3166.225;2006-07-15
200394;64322;3989.151;2006-08-20
200395;94558;4784.027;2013-10-01
200396;49918;8994.183;2002-03-30
200397;72228;9294.868;2012-03-05
200398;63042;1510.296;2005-04-23
200399;97675;8596.391;2013-01-09
200400;11579;3610.269;2009-06-23
200401;86216;3233.249;2003-09-10
200402;60125;9524.963;2004-11-13
200403;50011;8104.406;2008-06-11
200404;77087;9635.974;2005-12-24
200405;87777;2400.053;2013-06-25
200406;53777;7728.094;2008-06-08
200407;58910;6471.485;2012-10-25
200408;31119;3254.252;2001-10-24
200409;32704;9211.896;2007-01-13
200410;52406;3012.772;2001-04-25
200411;51136;7525.647;2005-09-15
200412;42590;2598.968;2010-02-02
200413;69999;5676.897;2002-05-15
200414;81712;9785.881;2004-03-12
200415;58135;5862.344;2011-01-10
200416;35009;2842.933;2006-05-15
200417;25668;2666.896;2008-12-14
200418;58282;9166.867;2010-09-01
200419;28373;5399.661;2002-04-01
200420;30113;6057.522;2004-09-12
200421;58654;8701.318;2007-10-14
200422;97056;8990.094;2012-06-06
200423;79808;1355.724;2006-09-24
200424;33680;3301.999;2010-06-21
200425;85328;3781.689;2005-05-06
200426;53729;1626.088;2012-05-24
200427;57098;8209.471;2001-12-15
200428;40596;1999.083;2009-12-09
200429;77689;6843.302;2009-04-16
200430;69767;2542.023;2011-07-24
200431;64568;2520.114;2001-09-12
200432;64166;8269.687;2011-01-11
200433;54776;2893.039;2002-02-01
200434;25866;8990.183;2007-08-10
200435;59101;2319.518;2004-04-17
200436;32937;8076.42;2002-09-06
200437;31619;4435.308;2005-09-23
200438;93327;9089.732;2005-12-07
200439;25462;5554.318;2011-03-11
200440;23173;7179.66;2004-03-15
200441;67623;5530.484;2010-10-24
200442;33693;2802.38;2014-02-14
200443;26840;706.748;2003-01-04
200444;25745;8961.057;2007-03-16
200445;83003;4710.523;2010-01-23
200446;28169;2953.401;2011-12-10
200447;49392;7179.26;2010-08-09
200448;21997;8873.322;2006-01-24
200449;11745;5986.144;2003-06-01
200450;36061;8184.148;2002-04-20
200451;29985;9961.826;2013-03-20
200452;76960;4608.878;2010-11-02
200453;46706;4468.203;2007-10-15
200454;18205;3545.312;2002-09-25
200455;62726;213.923;2014-01-11
200456;75727;3232.686;2004-12-24
200457;65551;8511.071;2002-10-31
200458;10539;8415.632;2014-01-23
200459;50541;1850.775;2011-09-07
200460;27449;3538.156;2013-09-21
200461;20787;311.837;2007-10-16
200462;57484;2519.571;2005-04-28
200463;79454;866.391;2006-07-21
200464;69451;4162.771;2008-11-20
200465;85892;5724.157;2004-06-19
200466;97138;4378.818;2013-05-29
200467;20760;4137.925;2013-01-27
200468;45864;6566.837;2009-08-15
200469;39015;2187.868;2010-10-18
200470;48659;7314.839;2003-05-27
200471;19504;6.035;2007-04-01
200472;83579;2809.216;2001-07-25
200473;38188;5069.817;2011-02-12
200474;46769;6000.639;2012-12-20
200475;46130;2204.954;2008-09-19
200476;74148;4159.521;2013-09-03
200477;78505;7379.125;2004-03-09
200478;74791;299.359;2006-07-26
200479;79056;6575.397;2002-05-31
200480;60651;3634.316;2003-08-06
200481;88265;5165.363;2002-02-10
200482;10104;1775.166;2009-06-12
200483;67175;1410.925;2005-08-31
200484;75231;3320.034;2004-05-22
200485;20654;2108.372;2004-06-24
200486;57071;6858.853;2004-10-08
200487;19387;8174.509;2001-11-29
200488;56453;1577.86;2005-08-07
200489;73704;3455.205;2014-01-30
200490;46984;9051.857;2002-02-02
200491;31579;359.187;2008-11-10
200492;11483;9722.833;2007-05-09
200493;98827;5742.659;2004-07-26
200494;84373;501.884;2010-02-21
200495;63880;8962.534;2002-09-11
200496;33935;7719.608;2012-07-16
200497;43990;9797.035;2002-06-07
200498;63146;419.438;2001-05-29
200499;37415;4742.277;2004-09-19
200500;44345;5122.435;2005-07-22
200501;59398;7808.922;2009-12-06
200502;62991;5192.589;2011-02-25
200503;79527;2684.594;2013-12-13
200504;68817;72.88;2006-10-05
200505;46513;8940.571;2003-05-18
200506;14719;8056.84;2014-01-31
200507;84911;6627.341;2007-08-05
200508;95322;1715.263;2002-06-14
200509;72927;7310.756;2007-12-06
200510;79503;611.814;2007-09-16
200511;90781;4846.5;2011-04-15
200512;13820;8042.384;2002-02-23
200513;17721;9693.094;2009-12-05
200514;61907;3467.862;2001-08-12
200515;55893;2146.364;2004-10-26
200516;69614;5440.446;2012-07-13
200517;97443;8409.015;2005-10-21
200518;53594;4155.851;2009-06-28
200519;95408;3180.349;2008-01-22
200520;45773;689.358;2001-08-26
200521;63494;1790.569;2001-07-24
200522;60549;6901.412;2007-07-23
200523;92851;8694.609;2004-03-20
200524;54579;8680.956;2002-07-15
200525;71182;6406.924;2013-11-04
200526;55974;1721.098;2002-10-18
200527;18270;8813.495;2010-01-02
200528;62328;6068.412;2007-07-16
200529;12294;2743.102;2010-03-22
200530;59237;9145.607;2014-02-15
200531;94153;434.079;2006-02-14
200532;65643;3410.456;2013-08-27
200533;39453;5374.792;2013-11-06
200534;78848;4735.879;2009-07-13
200535;93213;8065.021;2002-09-13
200536;39936;3260.341;2011-05-08
200537;74908;1710.755;2005-10-19
200538;77851;5609.043;2009-04-17
200539;32998;4957.376;2002-01-25
200540;77182;4097.763;2010-01-11
200541;11111;9845.271;2003-01-28
200542;26658;2863.43;2013-10-28
200543;65939;6812.081;2012-03-18
200544;56397;8953.283;2001-08-21
200545;29520;5843.268;2010-08-27
200546;95014;7895.914;2007-03-08
200547;97096;5489.677;2010-08-24
200548;71622;8444.133;2003-10-23
200549;39345;315.109;2007-04-25
200550;92990;6604.542;2005-01-08
200551;37115;800.366;2012-03-04
200552;90373;7563.822;2011-09-20
200553;40362;6826.624;2011-09-14
200554;65112;9929.541;2005-12-09
200555;67530;7491.768;2002-08-20
200556;33592;4860.223;2005-01-30
200557;46081;75.46;2011-03-26
200558;58978;7456.45;2009-12-18
200559;32164;708.232;2002-08-25
200560;98814;4181.09;2010-08-16
200561;27946;4546.833;2009-02-16
200562;68512;7729.72;2010-11-27
200563;95364;5825.819;2004-08-31
200564;15058;8174.659;2007-12-09
200565;58085;858.425;2004-03-04
200566;92186;135.379;2003-02-13
200567;66013;9316.701;2011-02-15
200568;91087;6655.728;2012-09-06
200569;95654;354.372;2011-04-13
200570;96367;7409.826;2011-02-04
200571;15714;2876.223;2013-03-01
200572;98250;104.806;2010-07-03
200573;32160;1304.994;2013-01-05
200574;27446;1938.609;2006-11-20
200575;88610;6782.408;2006-09-06
200576;49241;3590.597;2002-06-24
200577;88741;825.295;2006-03-11
200578;14663;266.462;2008-02-24
200579;92987;6840.278;2012-09-10
200580;61520;3226.845;2008-02-11
200581;35889;557.831;2004-02-14
200582;82786;3422.485;2009-07-02
200583;30267;5250.241;2004-08-22
200584;99847;9178.314;2004-01-21
200585;64019;6366.118;2012-08-18
200586;36747;4260.211;2011-07-15
200587;95570;7738.216;2005-05-22
200588;11924;3542.786;2001-06-07
200589;34836;6404.892;2008-07-12
200590;99140;8988.161;2003-08-24
200591;26636;3341.931;2013-02-06
200592;92698;5168.857;2012-07-15
200593;12348;7854.812;2001-09-21
200594;25104;1691.894;2004-10-15
200595;52903;6183.175;2011-04-16
200596;22563;9219.017;2009-06-24
200597;84693;4487.634;2009-05-15
200598;27308;709.525;2003-10-30
200599;66427;4958.462;2001-11-14
200600;59732;2195.736;2007-10-01
200601;95905;6526.678;2009-12-23
200602;95751;1635.099;2001-10-06
200603;98443;4560.757;2003-01-12
200604;15207;2105.394;2001-04-15
200605;88034;6256.791;2006-06-06
200606;66671;1518.111;2013-01-07
200607;99213;7044.904;2011-10-10
200608;20394;2306.279;2005-08-03
200609;13559;925.631;2011-11-15
200610;73871;3462.309;2001-07-16
200611;30354;504.951;2012-04-10
200612;85233;9871.12;2011-08-04
200613;77882;3832.032;2009-05-10
200614;57164;2816.669;2011-05-26
200615;14431;9533.401;2005-07-20
200616;18136;8988.068;2002-08-19
200617;55469;2304.554;2002-12-17
200618;77780;2070.497;2003-02-06
200619;77134;5470.798;2002-03-31
200620;42052;3993.676;2005-10-03
200621;54364;6250.857;2006-10-10
200622;55668;440.943;2004-03-17
200623;39284;490.034;2005-02-13
200624;90598;8743.132;2003-11-28
200625;73924;7919.633;2004-11-15
200626;66772;7545.487;2007-05-25
200627;15014;8847.23;2008-02-05
200628;13514;6006.615;2012-01-01
200629;28245;682.688;2007-02-26
200630;31893;2326.19;2012-10-12
200631;88182;8075.656;2007-08-06
200632;56427;3046.615;2003-03-14
200633;30695;384.553;2004-06-02
200634;43440;3314.074;2013-03-05
200635;49845;3114.122;2010-03-31
200636;65289;3627.566;2008-09-29
200637;64196;4284.025;2009-02-04
200638;34572;2859.723;2012-01-20
200639;86194;2197.787;2012-03-31
200640;70075;9863.739;2004-03-02
200641;19000;8353.084;2013-06-24
200642;25522;6010.053;2008-06-09
200643;52179;3420.285;2005-11-16
200644;44741;1843.571;2007-04-28
200645;54208;4978.272;2008-07-22
200646;50773;245.087;2009-04-09
200647;22933;3455.02;2002-09-27
200648;70083;5291.88;2002-07-25
200649;21820;7810.504;2011-04-03
200650;38460;6761.371;2002-05-01
200651;75523;877.49;2006-04-13
200652;17901;2026.089;2006-04-20
200653;69119;3549.412;2010-05-07
200654;51100;2822.799;2006-06-25
200655;38443;8530.291;2001-05-23
200656;76023;2798.838;2007-12-02
200657;55538;375.634;2012-05-10
200658;18229;6095.643;2008-07-03
200659;76705;2221.164;2008-09-24
200660;80382;3416.356;2012-05-28
200661;28029;5.565;2002-02-21
200662;86609;4590.416;2007-04-18
200663;39358;3753.506;2006-01-20
200664;47899;4506.944;2012-10-19
200665;30619;9152.958;2007-03-13
200666;35436;4411.255;2008-05-21
200667;36426;7510.922;2003-12-05
200668;87783;3531.591;2003-07-17
200669;96332;2098.561;2013-01-29
200670;31378;8093.402;2013-05-08
200671;39726;5045.315;2010-09-06
200672;72653;3019.72;2006-10-23
200673;44881;457.956;2002-04-10
200674;41866;9944.075;2013-01-15
200675;18281;280.519;2010-07-19
200676;88071;6424.669;2002-01-02
200677;36046;4247.491;2003-02-19
200678;79244;3223.581;2011-06-14
200679;16372;4135.456;2002-03-17
200680;29456;8269.097;2001-11-05
200681;46322;3025.638;2002-09-22
200682;78736;7920.304;2003-08-25
200683;53091;7676.541;2012-07-30
200684;10660;3496.433;2012-09-22
200685;99566;5660.459;2001-09-19
200686;15623;6663.781;2001-04-05
200687;48440;4875.596;2008-01-01
200688;76330;6462.025;2013-01-23
200689;73361;2917.1;2012-06-13
200690;78461;7366.428;2010-05-26
200691;64354;507.492;2004-03-06
200692;99621;7508.283;2006-10-25
200693;91350;488.8;2004-05-23
200694;72966;2381.463;2012-08-27
200695;83608;8715.377;2012-04-15
200696;50933;3869.749;2009-06-05
200697;84049;4496.639;2005-08-29
200698;39851;3117.028;2011-09-09
200699;28114;6710.423;2011-06-19
200700;75148;9946.03;2007-08-19
200701;34879;5863.884;2005-11-14
200702;23837;4579.976;2009-09-28
200703;81698;3698.429;2008-08-23
200704;45985;3537.25;2005-02-15
200705;46680;8279.163;2002-01-03
200706;86492;4604.838;2003-04-28
200707;36828;4112.994;2007-03-17
200708;51391;194.075;2011-08-08
200709;34932;1094.785;2007-07-07
200710;17689;1939.853;2005-04-03
200711;36246;3393.913;2003-10-10
200712;96059;8514.301;2010-12-17
200713;84218;2571.451;2004-12-30
200714;91279;8963.46;2012-06-18
200715;82160;5538.476;2004-10-01
200716;69267;1143.178;2006-08-23
200717;10844;145.874;2013-07-22
200718;61569;6149.965;2008-02-18
200719;36169;578.502;2003-10-27
200720;66245;6952.633;2014-03-06
200721;77002;9452.136;2008-07-05
200722;54683;4486.262;2011-01-27
200723;43166;1987.103;2009-02-24
200724;46025;2697.126;2003-03-08
200725;11330;7011.951;2004-12-26
200726;49916;4952.58;2008-04-28
200727;66500;678.661;2008-06-02
200728;45731;441.519;2011-01-24
200729;66348;8239.867;2010-05-28
200730;54063;1749.041;2011-12-29
200731;81457;8832.661;2012-08-22
200732;38897;8239.262;2001-07-18
200733;83280;6746.68;2010-11-28
200734;14670;7035.899;2008-05-08
200735;36932;9653.164;2004-06-09
200736;36227;3827.731;2007-03-30
200737;23047;941.005;2013-03-26
200738;96075;1652.841;2007-05-18
200739;54389;6936.711;2004-10-29
200740;31033;6396.405;2009-11-21
200741;29718;5294.556;2010-01-20
200742;47041;3048.403;2006-05-28
200743;51839;8331.563;2001-08-03
200744;11211;602.497;2003-07-08
200745;21626;1571.643;2007-07-22
200746;77589;1437.07;2005-12-18
200747;94175;47.785;2013-11-23
200748;71405;6017.095;2004-03-28
200749;32393;9174.344;2008-08-05
200750;55016;3845.584;2012-10-23
200751;63863;6532.463;2007-01-09
200752;88012;4115.055;2006-01-21
200753;60521;9314.792;2001-09-05
200754;22591;2701.059;2012-05-11
200755;97608;9311.946;2003-01-21
200756;79617;8407.822;2005-12-11
200757;29905;6880.728;2011-08-12
200758;54863;1945.241;2009-02-05
200759;70149;4286.894;2010-11-12
200760;99271;147.898;2009-02-25
200761;94112;148.286;2007-01-05
200762;99876;5930.876;2013-04-13
200763;66262;5018.622;2007-09-06
200764;91836;4413.778;2008-05-20
200765;87669;2107.324;2010-11-30
200766;50912;5937.687;2007-10-31
200767;27925;4366.757;2011-04-29
200768;37215;7052.258;2003-12-07
200769;94108;6909.265;2011-07-03
200770;35798;8257.596;2002-03-13
200771;99109;9239.022;2003-06-03
200772;29734;1981.11;2007-12-31
200773;63154;7849.274;2006-06-28
200774;66583;2601.627;2010-02-12
200775;80156;8531.092;2002-09-01
200776;33914;641.524;2001-11-28
200777;62043;3917.209;2013-08-16
200778;49877;8475.516;2004-12-18
200779;77059;7767.876;2005-08-18
200780;17466;4502.736;2004-11-14
200781;54861;5666.074;2001-04-21
200782;78865;2282.923;2012-05-21
200783;11504;9794.465;2003-10-13
200784;29116;189.895;2005-04-16
200785;43705;1001.246;2010-04-25
200786;54501;3310.277;2009-11-02
200787;43177;6549.692;2007-04-15
200788;74041;4347.973;2004-09-22
200789;72333;3724.711;2010-01-08
200790;87073;4420.494;2003-11-18
200791;93090;5230.351;2008-10-20
200792;13786;584.876;2010-04-08
200793;71064;5470.529;2001-05-17
200794;36567;4519.118;2005-01-26
200795;40835;1902.598;2013-05-21
200796;38719;4234.057;2010-06-16
200797;56420;4707.74;2002-04-19
200798;73714;6847.766;2010-07-26
200799;36113;4549.255;2003-04-22
200800;43011;4737.387;2005-11-03
200801;47536;4016.093;2008-11-12
200802;84653;4562.647;2007-04-05
200803;98241;3746.936;2011-01-01
200804;97992;9313.362;2002-12-12
200805;97068;9692.49;2009-04-06
200806;16237;5213.953;2010-09-25
200807;68284;5308.662;2002-07-24
200808;91893;513.543;2005-01-11
200809;63585;9700.785;2010-08-30
200810;65324;154.787;2006-09-16
200811;37111;6342.355;2001-05-06
200812;52694;2117.646;2011-05-01
200813;24009;4838.566;2010-04-18
200814;45910;4619.64;2009-06-21
200815;49388;1838.959;2006-01-09
200816;28540;9231.516;2009-05-13
200817;19413;744.904;2011-01-07
200818;30122;8208.365;2003-01-01
200819;98877;3594.521;2001-07-26
200820;66847;544.261;2006-06-11
200821;73438;8740.101;2011-12-15
200822;46678;4158.219;2003-06-29
200823;49757;1541.266;2001-06-11
200824;32073;8182.762;2004-02-23
200825;10783;1332.298;2003-04-20
200826;50328;2577.798;2009-01-27
200827;60236;4340.195;2001-04-20
200828;36144;4778.665;2007-07-08
200829;54282;5992.335;2011-10-18
200830;79726;7414.023;2012-12-24
200831;57514;3957.609;2011-12-04
200832;45051;641.331;2010-11-01
200833;62532;1916.766;2007-03-23
200834;51644;5724.089;2007-11-16
200835;60988;2063.107;2008-11-11
200836;89519;2676.522;2012-07-10
200837;80055;1884.822;2006-03-24
200838;46719;6031.243;2009-11-13
200839;31267;6111.07;2013-07-19
200840;89839;1670.771;2011-12-13
200841;16394;5525.748;2012-02-23
200842;28685;4401.943;2007-12-27
200843;21912;1875.067;2003-01-22
200844;10680;2045.678;2009-09-01
200845;15318;9918.319;2004-02-19
200846;11577;9183.028;2009-03-17
200847;17204;8047.816;2012-04-07
200848;32384;3450.239;2002-10-14
200849;20645;1744.181;2009-08-21
200850;19476;5203.246;2005-12-14
200851;56667;8675.096;2005-09-24
200852;83309;4814.202;2007-02-27
200853;56978;3718.643;2008-05-26
200854;96832;7604.416;2006-04-19
200855;43717;2520.694;2007-01-31
200856;31524;7401.442;2013-11-28
200857;40668;2330.136;2011-10-05
200858;80436;8327.728;2007-01-08
200859;98271;6949.305;2004-12-20
200860;64993;403.862;2013-07-03
200861;83212;4411.133;2012-05-26
200862;80391;8601.26;2002-11-02
200863;40890;7549.975;2009-12-25
200864;97622;4784.036;2007-03-29
200865;58523;483.236;2005-07-28
200866;73516;7911.198;2008-07-23
200867;57459;967.684;2002-12-05
200868;16128;6886.653;2005-04-12
200869;59429;9828.572;2013-06-27
200870;53189;3404.338;2002-02-14
200871;14394;4129.604;2012-03-27
200872;81024;2041.415;2006-05-03
200873;63632;2046.267;2002-04-14
200874;17309;8141.149;2005-08-20
200875;20205;9989.923;2010-07-25
200876;92533;9594.083;2001-08-05
200877;23097;6668.675;2010-09-11
200878;87236;489.054;2013-06-06
200879;71611;2720.837;2007-09-15
200880;73717;6154.779;2014-01-22
200881;51457;9810.155;2002-04-15
200882;81626;4270.938;2006-07-13
200883;78530;3443.516;2013-07-29
200884;79047;5868.648;2009-10-26
200885;42904;9477.896;2007-10-05
200886;56342;3400.248;2013-03-15
200887;70559;7195.661;2003-04-30
200888;86470;2610.386;2014-01-14
200889;26913;7996.535;2002-09-23
200890;12631;9082.928;2009-03-19
200891;13418;3505.388;2013-04-20
200892;31562;2661.901;2008-06-19
200893;52403;8170.342;2001-08-06
200894;80310;9370.861;2002-07-01
200895;34723;8194.75;2009-06-04
200896;72701;9506.543;2001-05-05
200897;50737;373.731;2004-12-16
200898;16233;4627.903;2011-04-09
200899;68529;5947.926;2007-02-19
200900;16290;8106.083;2005-01-18
200901;57420;8010.549;2012-10-26
200902;39451;3342.013;2005-06-13
200903;48617;2468.563;2008-11-26
200904;10236;3212.431;2008-05-11
200905;68045;963.802;2013-11-27
200906;30542;7043.911;2012-09-16
200907;84885;4192.992;2001-12-22
200908;85996;3852.225;2009-10-19
200909;56345;5000.645;2009-01-26
200910;72854;2244.116;2005-11-02
200911;67086;2342.694;2003-08-07
200912;65134;5864.053;2009-02-06
200913;75822;3614.299;2008-03-06
200914;99135;3037.887;2006-03-19
200915;83184;8817.175;2011-10-30
200916;65797;5081.485;2001-11-12
200917;24204;8075.871;2006-07-11
200918;90387;7591.693;2010-02-20
200919;41775;9654.708;2010-09-02
200920;52797;5946.981;2002-05-16
200921;82443;1756.546;2003-12-16
200922;25869;7952.726;2010-01-16
200923;61877;5309.692;2010-09-10
200924;20786;4076.268;2011-11-18
200925;33590;8093.766;2011-12-25
200926;28935;9419.812;2011-01-29
200927;62896;1588.515;2002-07-23
200928;50506;3480.578;2008-08-22
200929;18643;1469.413;2002-04-13
200930;87551;7802.128;2005-03-24
200931;64501;3422.717;2012-01-03
200932;34936;4161.203;2005-10-20
200933;97531;1012.5;2011-10-17
200934;30293;1451.417;2009-12-28
200935;43324;671.228;2009-09-29
200936;33115;4720.87;2005-05-28
200937;50900;1904.025;2014-03-16
200938;59393;6794.975;2009-10-15
200939;46762;8356.055;2006-12-30
200940;20473;9139.98;2007-03-26
200941;42780;122.61;2012-11-25
200942;80742;2023.256;2009-01-19
200943;65709;3982.459;2008-12-17
200944;30463;9587.839;2009-02-08
200945;88426;6745.399;2014-03-25
200946;19086;4528.008;2003-07-22
200947;74254;2958.348;2003-04-02
200948;40556;8576.37;2004-08-18
200949;84710;1854.503;2006-02-28
200950;21413;1738.184;2002-07-20
200951;79741;3931.397;2002-05-05
200952;15903;4441.909;2008-11-07
200953;33962;5519.027;2010-01-03
200954;43101;3766.058;2003-09-20
200955;63143;8602.103;2013-03-08
200956;10596;814.287;2003-11-01
200957;34860;5765.194;2002-02-16
200958;51433;2694.52;2010-11-19
200959;78631;7279.782;2009-08-08
200960;98499;9616.636;2006-08-07
200002;41969;3270.061;2007-01-24
200003;17087;4456.989;2007-05-15
200004;85142;3133.376;2004-01-15
200005;25413;2758.411;2008-02-26
200006;84359;1431.186;2004-03-30
200007;96567;1214.574;2010-10-02
200008;67603;2375.872;2006-11-21
200009;31408;9334.706;2003-05-30
200010;66838;5980.094;2005-02-03
200011;77796;4607.802;2006-08-22
200012;44277;5098.347;2001-11-17
200013;69541;7483.904;2002-04-02
